정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,시도,시군구,읍면동
CAB285000077,성환8리,36.92149462,127.1227674,2025-10-31,77,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000078,송덕,36.92381631,127.1189774,2025-10-31,78,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000079,국립축산과학원입구,36.9257942,127.1120326,2025-10-31,79,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000080,국립축산과학원입구,36.9256904,127.1119714,2025-10-31,80,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000082,기린빌라,36.926509,127.117642,2025-10-31,82,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000083,우신1리(경로당),36.929498,127.117111,2025-10-31,83,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000084,우신1리,36.936689,127.116789,2025-10-31,84,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000085,어룡리,36.940672,127.116795,2025-10-31,85,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000090,와룡2리(농촌),36.95704461,127.1054641,2025-10-31,90,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000091,와룡2리,36.95693833,127.1052511,2025-10-31,91,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000092,와룡3리(북농촌),36.95777627,127.1024824,2025-10-31,92,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000093,와룡3리,36.95795143,127.1023098,2025-10-31,93,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000095,성환초등학교,36.91729105,127.1327387,2025-10-31,95,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000096,성신초등학교,36.91765545,127.1278602,2025-10-31,96,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000097,성신초등학교,36.91718145,127.1280682,2025-10-31,97,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000098,성환역,36.91571532,127.1279794,2025-10-31,98,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
